	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
0	mmu-miR-486a-3p	6678.0	6767.0	6337.0	4472.0	4890.0	6632.0	6543.0	4552.0	6035.0	2962.0	2895.0	2977.0	2156.0	2104.0	2139.0	2630.0	3003.0	3191.0	2515.0	2691.0	2831.0
1	mmu-miR-877-3p	27.0	41.0	41.0	0.0	0.0	25.0	48.0	40.0	36.0	29.0	30.0	41.0	33.0	25.0	18.0	33.0	24.0	39.0	46.0	20.0	23.0
2	mmu-miR-29a-3p	37967.0	32375.0	27334.0	19550.0	26855.0	13478.0	35760.0	29884.0	37010.0	26210.0	12858.0	17310.0	4964.0	3605.0	2951.0	37165.0	25266.0	26218.0	42439.0	4873.0	24561.0
3	mmu-miR-503-3p	82.0	84.0	62.0	49.0	65.0	48.0	77.0	86.0	96.0	59.0	63.0	73.0	32.0	33.0	24.0	105.0	75.0	94.0	79.0	21.0	81.0
4	mmu-miR-100-3p	15.0	16.0	17.0	8.0	12.0	17.0	20.0	19.0	13.0	14.0	4.0	13.0	0.0	0.0	0.0	12.0	11.0	13.0	23.0	0.0	14.0
5	mmu-miR-191-3p	136.0	109.0	104.0	82.0	88.0	74.0	142.0	136.0	143.0	99.0	45.0	91.0	24.0	13.0	15.0	108.0	111.0	124.0	110.0	18.0	92.0
6	mmu-miR-505-3p	14.0	15.0	10.0	15.0	0.0	0.0	17.0	16.0	16.0	11.0	0.0	18.0	3.0	0.0	0.0	23.0	7.0	16.0	14.0	0.0	0.0
7	mmu-miR-106b-3p	258.0	237.0	218.0	194.0	234.0	239.0	341.0	258.0	305.0	191.0	206.0	238.0	148.0	179.0	128.0	261.0	243.0	342.0	368.0	135.0	205.0
8	mmu-miR-674-3p	445.0	475.0	426.0	271.0	535.0	311.0	786.0	741.0	801.0	534.0	353.0	407.0	151.0	170.0	115.0	662.0	511.0	827.0	840.0	137.0	472.0
9	mmu-miR-147-3p	75.0	29.0	31.0	43.0	38.0	33.0	42.0	80.0	92.0	28.0	8.0	8.0	0.0	0.0	0.0	45.0	32.0	45.0	58.0	0.0	51.0
10	mmu-miR-542-3p	100.0	54.0	69.0	48.0	88.0	135.0	93.0	70.0	207.0	51.0	12.0	21.0	0.0	0.0	0.0	98.0	120.0	68.0	104.0	0.0	75.0
11	mmu-miR-329-3p	0.0	90.0	0.0	0.0	49.0	94.0	74.0	76.0	83.0	31.0	0.0	23.0	0.0	0.0	6.0	121.0	22.0	77.0	73.0	0.0	48.0
12	mmu-miR-433-3p	22.0	23.0	20.0	29.0	42.0	41.0	48.0	56.0	45.0	20.0	31.0	42.0	16.0	22.0	35.0	38.0	19.0	52.0	46.0	22.0	24.0
13	mmu-let-7i-3p	155.0	148.0	123.0	81.0	115.0	99.0	195.0	163.0	191.0	166.0	96.0	108.0	54.0	40.0	33.0	175.0	131.0	166.0	206.0	33.0	100.0
14	mmu-miR-874-3p	181.0	140.0	161.0	94.0	118.0	54.0	160.0	102.0	111.0	89.0	90.0	142.0	62.0	53.0	49.0	142.0	89.0	104.0	124.0	48.0	140.0
15	mmu-miR-212-3p	285.0	315.0	273.0	205.0	444.0	284.0	376.0	403.0	777.0	221.0	216.0	805.0	140.0	130.0	115.0	471.0	324.0	484.0	398.0	138.0	270.0
16	mmu-miR-185-3p	80.0	62.0	62.0	63.0	59.0	77.0	88.0	69.0	66.0	58.0	44.0	81.0	21.0	23.0	27.0	65.0	70.0	63.0	66.0	38.0	78.0
17	mmu-miR-28a-3p	622.0	634.0	573.0	358.0	548.0	717.0	875.0	759.0	987.0	648.0	563.0	709.0	338.0	308.0	193.0	766.0	632.0	892.0	947.0	293.0	454.0
18	mmu-miR-215-3p	25.0	9.0	15.0	14.0	0.0	14.0	16.0	21.0	17.0	14.0	0.0	0.0	0.0	0.0	0.0	26.0	13.0	16.0	19.0	0.0	0.0
19	mmu-miR-330-3p	68.0	57.0	52.0	46.0	86.0	45.0	83.0	66.0	92.0	51.0	45.0	84.0	49.0	57.0	36.0	93.0	58.0	96.0	59.0	32.0	65.0
20	mmu-miR-425-3p	216.0	204.0	205.0	180.0	215.0	123.0	260.0	243.0	251.0	170.0	171.0	225.0	106.0	103.0	107.0	236.0	160.0	222.0	198.0	123.0	157.0
21	mmu-miR-18a-3p	13.0	18.0	28.0	21.0	0.0	17.0	15.0	15.0	29.0	14.0	13.0	18.0	9.0	12.0	0.0	39.0	16.0	22.0	26.0	10.0	19.0
22	mmu-miR-423-3p	3145.0	3403.0	3126.0	2122.0	2674.0	1330.0	4169.0	3419.0	3651.0	2826.0	2984.0	2771.0	2179.0	2393.0	2255.0	3305.0	2620.0	3541.0	3550.0	2248.0	2675.0
23	mmu-miR-501-3p	76.0	76.0	64.0	46.0	77.0	111.0	138.0	137.0	158.0	116.0	157.0	178.0	116.0	127.0	118.0	173.0	144.0	204.0	321.0	79.0	94.0
24	mmu-miR-335-3p	345.0	552.0	342.0	210.0	598.0	604.0	448.0	486.0	990.0	346.0	82.0	225.0	14.0	12.0	0.0	246.0	507.0	555.0	416.0	16.0	352.0
25	mmu-miR-375-3p	16.0	30.0	9.0	17.0	24.0	13.0	39.0	18.0	24.0	18.0	9.0	23.0	0.0	8.0	12.0	31.0	14.0	16.0	26.0	9.0	22.0
26	mmu-miR-19a-3p	103.0	50.0	48.0	60.0	67.0	61.0	64.0	60.0	143.0	52.0	11.0	0.0	0.0	0.0	0.0	67.0	71.0	36.0	138.0	0.0	55.0
27	mmu-miR-101a-3p	26857.0	12780.0	15528.0	12782.0	16460.0	15681.0	18632.0	15220.0	23565.0	13150.0	842.0	1198.0	51.0	0.0	90.0	18445.0	16841.0	7004.0	28376.0	131.0	13633.0
28	mmu-miR-301a-3p	1678.0	1075.0	1040.0	756.0	1132.0	2229.0	1693.0	1685.0	3935.0	1430.0	132.0	305.0	34.0	38.0	57.0	2089.0	1850.0	1422.0	3518.0	17.0	1307.0
29	mmu-let-7a-2-3p	10.0	10.0	0.0	18.0	0.0	10.0	19.0	13.0	14.0	15.0	0.0	18.0	0.0	0.0	0.0	18.0	11.0	11.0	11.0	7.0	0.0
30	mmu-miR-142a-3p	4058.0	3656.0	2923.0	2639.0	2906.0	3673.0	3712.0	4254.0	9303.0	3301.0	518.0	1054.0	21.0	0.0	19.0	5246.0	4932.0	3929.0	10458.0	57.0	2583.0
31	mmu-miR-301b-3p	18.0	8.0	0.0	9.0	0.0	13.0	14.0	18.0	11.0	8.0	0.0	0.0	0.0	0.0	0.0	9.0	18.0	19.0	13.0	0.0	0.0
32	mmu-miR-16-1-3p	41.0	35.0	36.0	32.0	45.0	21.0	44.0	58.0	40.0	26.0	0.0	16.0	0.0	0.0	0.0	39.0	36.0	46.0	53.0	0.0	24.0
33	mmu-miR-380-3p	14.0	10.0	8.0	7.0	27.0	9.0	12.0	21.0	45.0	14.0	0.0	10.0	0.0	0.0	0.0	18.0	17.0	19.0	16.0	0.0	0.0
34	mmu-miR-7a-1-3p	46.0	35.0	34.0	33.0	56.0	32.0	67.0	37.0	67.0	34.0	10.0	11.0	0.0	0.0	0.0	51.0	54.0	46.0	71.0	0.0	32.0
35	mmu-miR-200a-3p	8.0	5.0	7.0	11.0	15.0	6.0	9.0	0.0	12.0	7.0	0.0	0.0	0.0	0.0	0.0	13.0	9.0	10.0	20.0	0.0	0.0
36	mmu-miR-200c-3p	21.0	25.0	18.0	16.0	28.0	0.0	13.0	15.0	12.0	22.0	21.0	20.0	7.0	6.0	6.0	22.0	18.0	17.0	29.0	8.0	19.0
37	mmu-miR-210-3p	559.0	606.0	443.0	281.0	454.0	672.0	739.0	1178.0	1710.0	521.0	452.0	448.0	175.0	218.0	128.0	962.0	507.0	955.0	1291.0	179.0	348.0
38	mmu-miR-369-3p	17.0	13.0	11.0	9.0	22.0	14.0	22.0	30.0	26.0	21.0	0.0	0.0	0.0	0.0	0.0	22.0	18.0	16.0	28.0	0.0	11.0
39	mmu-miR-30e-3p	13317.0	11582.0	11106.0	7552.0	9330.0	8618.0	10227.0	6803.0	8557.0	8450.0	3531.0	4869.0	1028.0	815.0	606.0	9222.0	8087.0	6211.0	9769.0	1276.0	7613.0
40	mmu-miR-1247-3p	0.0	23.0	0.0	0.0	0.0	27.0	0.0	49.0	52.0	22.0	25.0	76.0	13.0	11.0	18.0	46.0	16.0	27.0	42.0	0.0	0.0
41	mmu-miR-125a-3p	66.0	72.0	65.0	45.0	81.0	64.0	104.0	82.0	75.0	58.0	74.0	68.0	42.0	39.0	38.0	90.0	54.0	78.0	94.0	27.0	49.0
42	mmu-miR-184-3p	20.0	31.0	28.0	27.0	37.0	57.0	48.0	62.0	131.0	26.0	43.0	20.0	32.0	25.0	9.0	65.0	26.0	86.0	42.0	10.0	23.0
43	mmu-miR-193b-3p	254.0	232.0	204.0	101.0	189.0	154.0	335.0	304.0	391.0	292.0	167.0	163.0	143.0	139.0	118.0	323.0	185.0	332.0	340.0	90.0	143.0
44	mmu-miR-338-3p	586.0	388.0	529.0	391.0	412.0	263.0	400.0	331.0	359.0	291.0	58.0	168.0	38.0	22.0	32.0	436.0	321.0	300.0	366.0	42.0	313.0
45	mmu-miR-153-3p	68.0	59.0	74.0	67.0	128.0	57.0	81.0	83.0	105.0	58.0	6.0	0.0	0.0	0.0	0.0	95.0	75.0	43.0	82.0	0.0	68.0
46	mmu-miR-219a-1-3p	46.0	39.0	43.0	29.0	37.0	26.0	53.0	29.0	27.0	42.0	25.0	50.0	19.0	20.0	24.0	40.0	31.0	39.0	45.0	27.0	30.0
47	mmu-miR-485-3p	10.0	8.0	13.0	11.0	15.0	16.0	14.0	25.0	22.0	10.0	12.0	14.0	0.0	4.0	6.0	20.0	7.0	26.0	12.0	11.0	13.0
48	mmu-miR-208b-3p	1060.0	746.0	564.0	601.0	848.0	15264.0	10492.0	22439.0	34711.0	8218.0	1067.0	994.0	97.0	102.0	156.0	13236.0	6289.0	9976.0	24880.0	115.0	2641.0
49	mmu-miR-130a-3p	4621.0	3791.0	3231.0	2101.0	3215.0	3121.0	4630.0	4760.0	6811.0	3592.0	2683.0	2932.0	731.0	607.0	270.0	5234.0	4155.0	4794.0	5752.0	847.0	3228.0
50	mmu-miR-363-3p	0.0	13.0	12.0	8.0	0.0	5.0	12.0	9.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	9.0	18.0	16.0	0.0	0.0
51	mmu-miR-483-3p	44.0	69.0	38.0	0.0	66.0	36.0	0.0	51.0	36.0	27.0	31.0	103.0	18.0	30.0	0.0	72.0	0.0	61.0	39.0	0.0	68.0
52	mmu-miR-181a-1-3p	4347.0	4595.0	3944.0	2599.0	3826.0	3379.0	4237.0	3154.0	3669.0	2951.0	2632.0	2437.0	1170.0	1154.0	973.0	3170.0	2942.0	3031.0	3815.0	1506.0	3216.0
53	mmu-miR-671-3p	336.0	378.0	376.0	188.0	309.0	418.0	598.0	561.0	567.0	414.0	309.0	314.0	231.0	317.0	236.0	473.0	324.0	482.0	729.0	232.0	258.0
54	mmu-miR-488-3p	88.0	58.0	59.0	43.0	73.0	58.0	85.0	97.0	85.0	69.0	0.0	33.0	10.0	0.0	0.0	76.0	78.0	57.0	76.0	12.0	47.0
55	mmu-miR-345-3p	422.0	358.0	306.0	223.0	317.0	242.0	371.0	332.0	551.0	299.0	227.0	333.0	89.0	70.0	69.0	331.0	405.0	390.0	501.0	88.0	281.0
56	mmu-miR-410-3p	136.0	118.0	93.0	93.0	117.0	260.0	170.0	306.0	480.0	137.0	103.0	100.0	24.0	42.0	12.0	193.0	105.0	238.0	369.0	24.0	95.0
57	mmu-miR-26a-2-3p	34.0	26.0	27.0	26.0	33.0	15.0	30.0	27.0	35.0	28.0	0.0	6.0	0.0	0.0	0.0	39.0	23.0	16.0	40.0	4.0	27.0
58	mmu-let-7g-3p	77.0	69.0	56.0	59.0	67.0	39.0	64.0	78.0	71.0	67.0	37.0	54.0	0.0	12.0	9.0	73.0	62.0	68.0	70.0	15.0	50.0
59	mmu-miR-23b-3p	15578.0	15806.0	11178.0	7463.0	11073.0	18084.0	27884.0	31117.0	36254.0	16311.0	13386.0	12652.0	7404.0	6548.0	4357.0	28607.0	16277.0	35675.0	25377.0	5924.0	14679.0
60	mmu-let-7f-1-3p	274.0	219.0	237.0	148.0	202.0	132.0	235.0	189.0	279.0	198.0	0.0	91.0	0.0	0.0	0.0	215.0	249.0	200.0	244.0	0.0	184.0
61	mmu-miR-326-3p	124.0	132.0	106.0	83.0	121.0	69.0	201.0	234.0	241.0	128.0	111.0	161.0	91.0	107.0	68.0	169.0	163.0	268.0	272.0	68.0	88.0
62	mmu-miR-187-3p	127.0	104.0	128.0	75.0	120.0	41.0	132.0	127.0	127.0	74.0	72.0	106.0	33.0	34.0	27.0	142.0	94.0	97.0	124.0	32.0	96.0
63	mmu-miR-10a-3p	48.0	19.0	67.0	51.0	22.0	37.0	48.0	44.0	37.0	5.0	30.0	22.0	3.0	0.0	3.0	69.0	15.0	36.0	54.0	0.0	0.0
64	mmu-miR-16-2-3p	60.0	34.0	28.0	38.0	39.0	44.0	45.0	51.0	89.0	56.0	16.0	27.0	0.0	0.0	4.0	59.0	68.0	56.0	85.0	0.0	40.0
65	mmu-miR-17-3p	81.0	50.0	49.0	41.0	54.0	22.0	87.0	70.0	81.0	50.0	48.0	64.0	34.0	22.0	25.0	82.0	66.0	73.0	106.0	21.0	55.0
