miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
mmu-let-7a-1-3p/mmu-let-7c-2-3p	1178	792	923	677	949	681	964	947	1270	854	66	79	0	6	0	786	958	699	1135	16	663
mmu-let-7a-2-3p	10	10	0	18	0	10	19	13	14	15	0	18	0	0	0	18	11	11	11	7	0
mmu-let-7a-5p	43494	42016	38267	22298	30483	30726	47358	38123	49111	31336	30296	28181	15195	13025	11182	47502	32556	41377	58401	14375	30501
mmu-let-7b-3p	875	952	893	554	704	555	1115	906	1026	834	522	589	328	342	258	846	686	904	1034	233	577
mmu-let-7b-5p	12324	13264	11818	6909	9929	7979	18552	15434	17795	12520	13566	8841	9313	9428	10492	16613	9960	16108	21917	8469	8606
mmu-let-7c-1-3p	96	55	82	83	75	46	87	102	128	75	10	30	5	0	0	96	93	77	79	0	64
mmu-let-7c-5p	36767	39811	35216	19438	28891	35308	58360	52825	59875	38100	40312	32156	25038	25527	25105	55033	31490	52901	75830	23662	27361
mmu-let-7d-3p	4554	4608	4945	3280	3924	2330	5129	3974	4809	4257	3829	4227	2738	2899	2299	4034	4009	4357	4586	2193	3301
mmu-let-7d-5p	13828	12961	14405	8440	10015	5522	15201	11684	13675	9652	10050	9276	4568	4210	3403	14811	10049	12752	15065	5089	10447
mmu-let-7e-3p	58	86	70	55	72	61	105	103	125	78	55	82	46	45	48	100	74	109	123	35	68
mmu-let-7e-5p	1812	1763	1725	954	1729	2027	3024	3025	3829	1701	2612	788	1346	1524	1246	2947	1985	2678	4519	1468	1466
mmu-let-7f-1-3p	274	219	237	148	202	132	235	189	279	198	0	91	0	0	0	215	249	200	244	0	184
mmu-let-7f-2-3p	551	345	337	0	340	334	402	458	523	0	0	0	0	0	0	378	0	290	374	0	242
