miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq
mmu-miR-193b-3p	254	232	204	101	189	154	335	304	391	292
mmu-miR-3058-3p	28	37	34	31	0	0	35	26	23	18
mmu-miR-186-3p	20	0	15	17	13	11	16	10	22	9
mmu-miR-16-2-3p	60	34	28	38	39	44	45	51	89	56
mmu-miR-342-3p	612	576	551	286	486	346	915	759	1093	631
mmu-miR-582-3p	278	227	193	148	1799	464	414	472	602	227
mmu-let-7i-3p	155	148	123	81	115	99	195	163	191	166
mmu-miR-340-3p	164	119	133	113	148	57	163	172	245	125
mmu-miR-871-3p	22	22	9	22	25	9	32	0	14	6
mmu-miR-142a-3p	4058	3656	2923	2639	2906	3673	3712	4254	9303	3301
mmu-miR-361-3p	448	346	355	296	368	341	540	466	524	406
mmu-miR-1249-3p	261	264	239	148	214	176	360	256	336	263
mmu-let-7a-2-3p	10	10	0	18	0	10	19	13	14	15
mmu-miR-141-3p	97	59	60	50	97	42	74	52	88	55
mmu-miR-193a-3p	81	32	67	31	60	20	70	100	93	92
mmu-miR-148a-3p	58758	35403	37287	24062	28643	66179	42168	41374	68245	39741
mmu-miR-26a-2-3p	34	26	27	26	33	15	30	27	35	28
mmu-miR-147-3p	75	29	31	43	38	33	42	80	92	28
mmu-miR-21a-3p	120	138	120	91	153	335	197	733	828	231
mmu-miR-423-3p	3145	3403	3126	2122	2674	1330	4169	3419	3651	2826
mmu-miR-328-3p	4281	4325	4943	3329	3398	2387	5116	3559	3751	3512
mmu-miR-200c-3p	21	25	18	16	28	0	13	15	12	22
mmu-miR-1247-3p	0	23	0	0	0	27	0	49	52	22
mmu-miR-25-3p	7447	6241	5768	4170	5518	7158	8443	6628	8433	6225
mmu-let-7e-3p	58	86	70	55	72	61	105	103	125	78
mmu-miR-144-3p	1221	338	655	1171	706	263	396	871	983	689
mmu-miR-339-3p	324	336	290	187	304	146	417	433	461	297
mmu-miR-369-3p	17	13	11	9	22	14	22	30	26	21
mmu-miR-486a-3p	6678	6767	6337	4472	4890	6632	6543	4552	6035	2962
mmu-miR-667-3p	21	25	22	0	0	15	29	62	51	35
mmu-miR-98-3p	140	114	118	96	140	107	173	141	212	116
mmu-miR-143-3p	682541	393764	427740	270656	420238	728890	538258	485697	800463	464580
mmu-miR-130b-3p	54	122	65	37	51	51	72	95	118	57
mmu-miR-320-3p	1571	1876	1836	982	1396	1360	2868	2163	2234	1755
mmu-miR-23b-3p	15578	15806	11178	7463	11073	18084	27884	31117	36254	16311
mmu-miR-429-3p	9	0	14	12	12	10	13	24	15	7
mmu-miR-708-3p	38	0	30	0	34	34	38	32	0	18
mmu-miR-33-3p	22	11	21	20	22	0	23	0	21	13
mmu-miR-547-3p	56	49	39	31	51	50	87	68	93	59
mmu-miR-27b-3p	300097	220289	221518	143945	212371	424269	462856	497030	821510	345471
mmu-miR-375-3p	16	30	9	17	24	13	39	18	24	18
