Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_treatment,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample_id,Sample Name,source_name,SRA Study,strain,surgery,tissue
SRR6868498,miRNA-Seq,60,1143829260,PRJNA439359,SAMN08742053,666669950,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",None,SRX3822960,GSM3056352,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #165,GSM3056352,Left ventricle myocardium,SRP136162,C57BL/6J,Sham,Left ventricle myocardium
SRR6868499,miRNA-Seq,60,971355780,PRJNA439359,SAMN08742051,561728920,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",None,SRX3822961,GSM3056353,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #175,GSM3056353,Left ventricle myocardium,SRP136162,C57BL/6J,Sham,Left ventricle myocardium
SRR6868500,miRNA-Seq,60,816164940,PRJNA439359,SAMN08741767,473784617,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",None,SRX3822962,GSM3056354,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #189,GSM3056354,Left ventricle myocardium,SRP136162,C57BL/6J,Sham,Left ventricle myocardium
SRR6868501,miRNA-Seq,60,782569320,PRJNA439359,SAMN08741766,462099888,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",None,SRX3822963,GSM3056355,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #606,GSM3056355,Left ventricle myocardium,SRP136162,C57BL/6J,Sham,Left ventricle myocardium
SRR6868502,miRNA-Seq,60,1068154440,PRJNA439359,SAMN08741765,625715051,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",None,SRX3822964,GSM3056356,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #608,GSM3056356,Left ventricle myocardium,SRP136162,C57BL/6J,Sham,Left ventricle myocardium
SRR6868503,miRNA-Seq,60,830237880,PRJNA439359,SAMN08741849,474843645,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",None,SRX3822965,GSM3056357,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #156,GSM3056357,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868504,miRNA-Seq,60,1166477520,PRJNA439359,SAMN08741848,677158753,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",None,SRX3822966,GSM3056358,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #157,GSM3056358,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868505,miRNA-Seq,60,975581700,PRJNA439359,SAMN08741846,575662168,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",None,SRX3822967,GSM3056359,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:03:00Z,1,Ear tag #541,GSM3056359,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868506,miRNA-Seq,60,1076320260,PRJNA439359,SAMN08741844,628229622,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",None,SRX3822968,GSM3056360,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #612,GSM3056360,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
SRR6868507,miRNA-Seq,60,719660880,PRJNA439359,SAMN08741841,413216982,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",None,SRX3822969,GSM3056361,Illumina HiSeq 2500,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2018-08-10T00:00:00Z,2018-03-20T08:02:00Z,1,Ear tag #631,GSM3056361,Left ventricle myocardium,SRP136162,C57BL/6J,TAC (cardiac-pressure-overload),Left ventricle myocardium
