"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-208b-3p",7922.02492303585,4.14746213206097,0.280628696714041,14.7791803925427,1.99580047997501e-49,6.26681350712152e-47
"mmu-miR-199a-3p/mmu-miR-199b-3p",22307.2685462701,1.50503969184219,0.115986007759074,12.9760453085726,1.67298246486098e-38,2.62658246983174e-36
"mmu-miR-1247-5p",358.027647272026,2.21875922082139,0.22094705290522,10.0420403515098,9.95924735499577e-24,1.04240122315622e-21
"mmu-miR-214-5p",264.323629196846,1.77483765095924,0.17990979722949,9.86515286154919,5.89445974288977e-23,4.62715089816847e-21
"mmu-miR-214-3p",896.388268737359,1.81643493377939,0.194241403245568,9.3514302482822,8.64704018616483e-21,5.43034123691151e-19
"mmu-miR-140-3p",6296.75361854203,1.12377086088129,0.133004338937679,8.44912932808794,2.93483227868762e-17,1.53589555917986e-15
"mmu-miR-34c-5p",598.95492565821,2.04931271785422,0.257809129114471,7.94895326202468,1.88093993592536e-15,8.43735914115092e-14
"mmu-miR-127-3p",9513.09810180077,1.20347774728829,0.153714045816711,7.82932841884418,4.90482864967858e-15,1.92514524499884e-13
"mmu-miR-300-3p",198.067941239296,0.957692374186202,0.142840840071245,6.70461174625218,2.01942568052424e-11,7.0455518187179e-10
"mmu-miR-21a-5p",33288.5811357157,1.74634723628597,0.263793711471839,6.62012459107615,3.58896247047745e-11,1.12693421572992e-09
"mmu-miR-541-5p",627.651916607417,0.827423367782654,0.128362794293334,6.44597503768754,1.14859567096685e-10,3.27871855166901e-09
"mmu-miR-455-3p",214.429408792604,2.53041667064571,0.394212262465282,6.41891922595523,1.37245201354694e-10,3.59124943544783e-09
"mmu-miR-140-5p",397.435256057051,0.85119268883445,0.133930832905128,6.35546476021251,2.07797384718727e-10,5.0191060616677e-09
"mmu-miR-27b-3p",335636.38598195,0.82965703439546,0.130832210050133,6.34138209602627,2.27712993219013e-10,5.10727713362643e-09
"mmu-miR-92b-3p",459.687203757942,0.856471945983769,0.137522742632536,6.22785678636646,4.72858999265384e-10,9.89851505128871e-09
"mmu-miR-411-5p",1542.67368051426,1.06658957838456,0.172066058463104,6.19872151376828,5.69236488663445e-10,1.11712660900201e-08
"mmu-miR-199b-5p",317.807426150108,1.22532776953872,0.19827280485003,6.18000925777759,6.40978427333252e-10,1.18392485989789e-08
"mmu-miR-338-3p",401.530250616611,-0.864884827684362,0.153949650511713,-5.61797201104108,1.93211787832354e-08,3.37047229885329e-07
"mmu-miR-30c-1-3p",494.825180569317,-0.793773225847724,0.148337594638078,-5.35112644764407,8.74084160877862e-08,1.37231213257824e-06
"mmu-miR-224-5p",132.472512447414,1.25393163358418,0.233995216765655,5.35879173479,8.37803654173399e-08,1.37231213257824e-06
"mmu-miR-574-3p",703.354617238281,0.769985381397594,0.144343951926928,5.33437924567418,9.58719625042839e-08,1.43351410601644e-06
"mmu-miR-195a-3p",313.083354979472,0.615438322559573,0.120558595444565,5.10488962060413,3.30987654621702e-07,4.72409652505519e-06
"mmu-miR-195a-5p",3093.19717572111,0.694867254306955,0.137284800917369,5.06150170786345,4.15967012992088e-07,5.67885400345721e-06
"mmu-miR-23b-3p",17544.2678021499,0.691936058164217,0.139286733832023,4.96770969587582,6.77482816111251e-07,8.80045435525543e-06
"mmu-miR-298-5p",104.886376763962,1.09737776520893,0.221193029023428,4.96117698669746,7.00673117456642e-07,8.80045435525543e-06
"mmu-miR-34b-5p",32.5364751278509,1.68709733549169,0.342787458800857,4.92170087375283,8.57952791903999e-07,1.0361429871456e-05
"mmu-miR-29c-3p",3520.76412924104,-0.738117057593588,0.150582860209257,-4.90173354768177,9.49946261138711e-07,1.10475231850946e-05
"mmu-miR-99b-5p",14287.263818801,0.491948012610694,0.102269785700254,4.81029669948232,1.50706420260098e-06,1.69006485577395e-05
"mmu-miR-136-5p",168.183648365009,0.762437005929011,0.160258007516771,4.75755949885513,1.95947511352581e-06,2.12163857119692e-05
"mmu-miR-1960",46.8365128354803,-0.909530048717812,0.205430121868234,-4.42744248236974,9.5356988809994e-06,9.98069816211271e-05
"mmu-miR-146b-5p",825.92859013148,1.6397065975515,0.373096330280122,4.3948612314691,1.10843538867549e-05,0.000112273778078743
"mmu-miR-99a-3p",145.988930295843,0.758484796449202,0.173019982480928,4.38379882816604,1.16627480369536e-05,0.000114440715112607
"mmu-miR-21a-3p",260.947027283499,1.45649614004641,0.338804622289678,4.29892641429521,1.71627438780649e-05,0.000163306108415527
"mmu-miR-222-3p",1416.81968622222,0.715974219732345,0.16818351724543,4.25710100168451,2.07094810238249e-05,0.000191258148278854
"mmu-miR-221-3p",3370.53525807147,0.643358441613284,0.152100570578773,4.22982267038959,2.33875597045973e-05,0.000203991492978988
"mmu-miR-379-5p",104.813124619046,0.943008942860666,0.22263608286543,4.23565187962213,2.27889606062353e-05,0.000203991492978988
"mmu-miR-100-5p",3680.08933480886,0.467943143118728,0.111062960682237,4.21331414401569,2.51650670642278e-05,0.000213563001572096
"mmu-miR-30d-3p",672.368122306273,-0.338356146361095,0.0804400769240892,-4.20631306308172,2.59570601212104e-05,0.000214487286264739
"mmu-miR-155-5p",562.637258615923,-0.434081503828677,0.105861653200227,-4.1004602772229,4.12329210970997e-05,0.000331977877551008
"mmu-miR-1964-3p",104.798204478414,-0.679315695219989,0.168519472186648,-4.03108131306985,5.55208299374745e-05,0.000435838515009175
"mmu-miR-133b-3p",15192.1229654174,-0.622216375210009,0.15627536216685,-3.98153852649971,6.84706198352247e-05,0.000524384747030745
"mmu-miR-431-5p",93.5830764856518,0.858693959219473,0.217938228462194,3.94007955960068,8.14545908382391e-05,0.000608970036266835
"mmu-miR-874-3p",120.298370771444,-0.818310401154438,0.210068076875052,-3.89545338505273,9.80152122183576e-05,0.000715738991548007
"mmu-miR-501-3p",94.8433779876335,0.592798302972445,0.152973787211243,3.87516262608994,0.000106553513942156,0.000743506741729708
"mmu-miR-30e-5p",130961.198798681,-0.623858276582378,0.160830224081549,-3.87898655333621,0.000104892552265798,0.000743506741729708
"mmu-miR-125b-1-3p",323.187822111627,0.785193199135697,0.207981025956334,3.7753116926183,0.000159807710839461,0.00109086133051285
"mmu-miR-145a-3p",2283.09556876264,-0.539015794303554,0.145767810273622,-3.69776971535596,0.000217502066589746,0.00145309891296128
"mmu-miR-30c-2-3p",875.145349313928,-0.669082568141442,0.182071783439031,-3.67482844130812,0.000238009289629857,0.00155697743632865
"mmu-miR-27b-5p",412.586495617633,0.65224323593743,0.183827956682389,3.54811774938212,0.000387994724217072,0.00248633353886042
"mmu-miR-455-5p",786.323263071071,-1.15494730649838,0.329305651007621,-3.50721982135573,0.000452814919091332,0.00284367769189357
"mmu-miR-499-5p",4578.38455261133,-0.80511148446187,0.232661724476926,-3.4604380513036,0.000539297303983741,0.00332037947942931
