logFC	AveExpr	t	P.Value	adj.P.Val	B
mmu-miR-208b-3p	4.03337515969238	9.8403327624147	14.6339422888389	5.22939813547581e-09	1.9662536989389e-06	11.2241766041891
mmu-miR-199a-3p/mmu-miR-199b-3p	1.47923268877168	12.3550127507076	12.5988134721554	2.84166728849637e-08	5.34233450237318e-06	9.59673525787791
mmu-miR-1247-5p	2.17826845362095	6.17347162576517	10.778036576421	1.60201025022854e-07	2.00785284695311e-05	7.89193837523185
mmu-miR-214-5p	1.73168138948331	5.88228554203004	10.4052404567988	2.35209256155384e-07	2.21096700786061e-05	7.51309635998713
mmu-miR-214-3p	1.78375232563154	7.6207878677175	9.22705185082613	8.55752425374105e-07	6.43525823881327e-05	6.21014905927751
mmu-miR-127-3p	1.17199819285543	11.1837938257916	8.54246490805651	1.9246735964093e-06	0.000112756464772903	5.36579110266982
mmu-miR-140-3p	1.09603353375742	10.6083895794562	8.47148455569769	2.09918950375086e-06	0.000112756464772903	5.27953465960407
mmu-miR-34c-5p	1.97835207484546	6.94822606249577	8.02193242749498	3.68383192136213e-06	0.00017314010030402	4.73841445655065
mmu-miR-300-3p	0.9389903559937	5.65315324699446	7.42541143517438	8.05053290587108e-06	0.00033633337473417	3.96183753090745
mmu-miR-541-5p	0.811988953449331	7.33336712577197	6.6119720200573	2.50841846560598e-05	0.000790904253301319	2.76715438012182
mmu-miR-21a-5p	1.62775288141402	12.8223382476642	6.56495111841525	2.68577289302391e-05	0.000790904253301319	2.65106765833892
mmu-miR-1960	-0.923873313365783	3.59294500488864	-6.51319379898592	2.89651184131552e-05	0.000790904253301319	2.78755690513741
mmu-miR-140-5p	0.835729124441253	6.6703544636462	6.48544260975209	3.01668093336166e-05	0.000790904253301319	2.58842475528309
mmu-miR-92b-3p	0.834397333299762	6.87924823388112	6.46366105016155	3.11470775438004e-05	0.000790904253301319	2.55197227537648
mmu-miR-411-5p	1.01721309641652	8.58128229931147	6.45487470552637	3.15520313817016e-05	0.000790904253301319	2.51755412606535
mmu-miR-27b-3p	0.802602880164114	16.3926779652166	6.39619136747549	3.44042576822645e-05	0.000808500055533216	2.36962763213474
mmu-miR-199b-5p	1.19025750796119	6.26921511686552	6.16330975500094	4.87270186622186e-05	0.00107772700099966	2.10695131296886
mmu-miR-338-3p	-0.870465663177912	6.67950232212498	-5.92326472779313	7.03022556838844e-05	0.00146853600761892	1.71771275413226
mmu-miR-30c-1-3p	-0.819081123405899	6.99139004966105	-5.73641570125036	9.40376151829271e-05	0.00177293812644101	1.41323612971119
mmu-miR-224-5p	1.20678177313234	4.99764176960398	5.73460576701728	9.43052194915429e-05	0.00177293812644101	1.4861154662516
mmu-miR-298-5p	1.03684476562649	4.70063479275235	5.58782451542913	0.000118928484143843	0.00212938619228975	1.26692157331468
mmu-miR-195a-3p	0.599303576057103	6.35943267250397	5.31760089422754	0.000183743032597129	0.00314033546620548	0.741313543418332
mmu-miR-455-3p	2.29768208307804	5.23766920171571	5.24853187938752	0.000205691147137113	0.00336260310102411	0.703952154670045
mmu-miR-99a-3p	0.719924219539527	5.23748443471413	5.16575334978249	0.000235683732814253	0.00364653558847819	0.528724412652817
mmu-miR-136-5p	0.739783761038376	5.44266894872871	5.12873656338713	0.000250552425346622	0.00364653558847819	0.455845348546866
mmu-miR-1964-3p	-0.706104857470117	4.77357352652866	-5.1117377726947	0.000257707680184887	0.00364653558847819	0.456871064926117
mmu-miR-23b-3p	0.682913250125248	12.1509229798863	5.10197877574348	0.000261912224410948	0.00364653558847819	0.309603103114542
mmu-miR-379-5p	0.936350839989953	4.71670052643887	5.08021506848364	0.000271550522546248	0.00364653558847819	0.423379659412617
mmu-miR-501-3p	0.576439121845115	4.64420179829648	5.01631278477421	0.000302063672693694	0.00391641175630445	0.31260968665896
mmu-miR-574-3p	0.735036592918747	7.50200683769754	4.88400022740268	0.00037725359500118	0.00472824505734813	-0.0179904671972642
mmu-miR-195a-5p	0.683776550212775	9.64757462974266	4.84813268503397	0.000400849439542976	0.00486191578284384	-0.108610332519548
mmu-miR-29c-3p	-0.76107529634108	9.82602327667135	-4.81098009703939	0.000426926405528205	0.00501638526495641	-0.176765078615931
mmu-miR-431-5p	0.85126610892357	4.57538332104958	4.73454293256587	0.000486318787487037	0.00554108679076139	-0.159297499422068
mmu-miR-874-3p	-0.857152126112227	4.93937144512179	-4.68290231684352	0.000531287873422105	0.00587541883549152	-0.289919731475492
mmu-miR-221-3p	0.629693273417892	9.77394424073513	4.6064930694935	0.000605956295701654	0.00650970191953777	-0.533782812414402
mmu-miR-133b-3p	-0.65801603727115	11.9471341295264	-4.39435732773996	0.000876420923769249	0.0091537296482566	-0.927057941898135
mmu-miR-30e-5p	-0.653672741408123	15.0534461041777	-4.3392695472773	0.000965455969540005	0.00959327116070674	-1.05398519362436
mmu-miR-222-3p	0.698486093491461	8.5120076364982	4.33687519926127	0.000969532723688447	0.00959327116070674	-0.995809657741532
mmu-miR-30c-2-3p	-0.696495262687619	7.81916979525408	-4.17840958985531	0.00128332307953491	0.0123725507155161	-1.27236270984239
mmu-miR-125b-1-3p	0.775696830018856	6.36320983908685	4.1405597108364	0.00137280523673399	0.0127364028969627	-1.31130493321616
mmu-miR-574-5p	0.520839649654094	4.58800345074923	4.10787202079576	0.00145527678637062	0.0127364028969627	-1.27870851309378
mmu-miR-874-5p	-0.687541487976134	3.28132720240884	-4.10062367125521	0.00147424906830248	0.0127364028969627	-1.07172604554633
mmu-miR-139-3p	-0.778262808223263	4.09556284204806	-4.09602987867726	0.00148640544451751	0.0127364028969627	-1.25440974066988
mmu-miR-146b-5p	1.42349309074772	7.45247809820895	4.08733141150199	0.00150970870966844	0.0127364028969627	-1.42944220800407
mmu-miR-99b-5p	0.478860957861885	11.8813983768489	4.08195399332968	0.00152430353820033	0.0127364028969627	-1.49130775334561
mmu-miR-30e-3p	-0.684050888492482	11.285380843688	-3.95752101822517	0.00190603508340368	0.015396565830096	-1.71515906718127
mmu-miR-100-5p	0.459216145542998	9.92532337194933	3.95215282822741	0.001924570728762	0.015396565830096	-1.71416233514404
mmu-miR-499-5p	-0.87474348676893	10.1691446878979	-3.91858254554575	0.00204477727985434	0.0160174220255256	-1.77894631352872
mmu-miR-21a-3p	1.29070728617421	5.87113495241818	3.88590949290599	0.00216920891194609	0.0164292003516578	-1.75484742750042
mmu-miR-27b-5p	0.64650363015551	6.73785525193624	3.87892526953781	0.00219680416883188	0.0164292003516578	-1.79848032264979
mmu-miR-136-3p	0.812517618797671	3.85741200152214	3.86735647538403	0.0022433110510468	0.0164292003516578	-1.58382184204567
mmu-miR-134-5p	0.705172228139908	3.49842958068548	3.86031243075694	0.00227212345288885	0.0164292003516578	-1.50135623870053
mmu-miR-501-5p	4.59342633405174	0.893512525213359	3.84462296335791	0.00233767489771932	0.0165842596517446	-2.34938101291421
mmu-miR-1198-5p	-0.612043073191282	8.50559743476089	-3.77357306516686	0.00265977336508076	0.0183292079153821	-2.01883372816815
mmu-miR-181a-1-3p	-0.525504166519948	9.91170958538284	-3.76917851846447	0.00268113413655855	0.0183292079153821	-2.0506370837032
mmu-miR-155-5p	-0.450800619697628	7.22107504708491	-3.75342495808424	0.00275916609061889	0.018525829465584	-2.0408893940717
mmu-miR-145a-3p	-0.5627758947152	9.2241398659406	-3.67372693153339	0.00319117281405135	0.0207614699852425	-2.21543059763999
mmu-let-7f-1-3p	-0.466297605427417	5.78120826741509	-3.6717776622162	0.00320256717857463	0.0207614699852425	-2.15029137399082
mmu-miR-378a-3p	-0.482651115111222	15.9313490779196	-3.63683851150163	0.00341401694702618	0.0217571249505398	-2.34552854884723
