"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-144-3p",191.304405793571,-5.00653349496933,0.442710373095637,-11.3088235542378,1.1866995895417e-29,4.26025152645471e-27
"mmu-miR-142a-5p",534.128425745429,-4.66207864362974,0.450849772170939,-10.3406476644777,4.61408504532265e-25,8.28228265635415e-23
"mmu-miR-190a-5p",79.1978299823468,-3.56869861395763,0.368285227263291,-9.69004008245578,3.32398193453815e-22,3.97769838166398e-20
"mmu-miR-136-5p",75.6822046303707,-4.4400880060456,0.476116881777513,-9.32562607204597,1.10330277310247e-20,9.90214238859468e-19
"mmu-miR-32-5p",35.4011491574121,-3.87944237121354,0.430289793632112,-9.01588285064083,1.95291053220358e-19,1.40218976212217e-17
"mmu-miR-208b-3p",5477.27828124653,-4.23019126821093,0.517717180581908,-8.17085356034784,3.06215146761062e-16,1.83218729478702e-14
"mmu-miR-301a-3p",715.903573392595,-3.18316178728427,0.393013498870489,-8.09937011434109,5.52444733138714e-16,2.83325227423998e-14
"mmu-miR-340-5p",453.887110872286,-3.02677811215039,0.376592173948035,-8.03728362280851,9.18518974726492e-16,4.12185389908513e-14
"mmu-miR-98-3p",46.893958063162,-3.51890015601921,0.456286254415205,-7.7120450637488,1.23817393014488e-14,4.93893823246679e-13
"mmu-miR-153-3p",23.0612086846146,-4.72846783777392,0.645152617436761,-7.3292236751057,2.31489750303665e-13,8.31048203590158e-12
"mmu-miR-148a-3p",17893.7445770052,-2.96466502253679,0.427622810474227,-6.93289728686133,4.12307580171753e-12,1.34562201165145e-10
"mmu-miR-21a-5p",18739.2766672536,-4.26372064077798,0.646811047776359,-6.59191065989987,4.34201870363662e-11,1.29898726217129e-09
"mmu-miR-199b-5p",181.554036082332,-2.42441746627253,0.376982095461697,-6.43112098812889,1.26666284499658e-10,3.4979381642598e-09
"mmu-miR-152-5p",197.335417029835,-1.30518491068399,0.20846304493002,-6.26098938122167,3.82542577505213e-10,9.80948466602653e-09
"mmu-miR-30d-3p",235.089947440048,-2.74519917039382,0.464096788757253,-5.91514364437825,3.31586072044363e-09,7.93595999092841e-08
"mmu-miR-136-3p",26.6440036704471,-3.6150841300172,0.625518624532428,-5.77933891691787,7.49947180648888e-09,1.68269398658094e-07
"mmu-miR-501-3p",157.792196856635,1.56784176678033,0.277163058187395,5.65674869166831,1.54267387759206e-08,3.25776424738559e-07
"mmu-miR-411-5p",933.417329522872,-1.7703225803294,0.314678700553349,-5.62580999990266,1.84639491217613e-08,3.68253207484018e-07
"mmu-miR-101b-3p",825.678526999744,-3.5659422048423,0.664131059477683,-5.36933509426105,7.90274608910723e-08,1.49320307683658e-06
"mmu-miR-21a-3p",162.561291976629,-2.12634737068057,0.405709258164169,-5.24106198685796,1.59655067785534e-07,2.86580846675034e-06
