,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-144-3p,191.3044058,-5.006533495,0.442710373,-11.30882355,1.19E-29,4.26E-27
mmu-miR-142a-5p,534.1284257,-4.662078644,0.450849772,-10.34064766,4.61E-25,8.28E-23
mmu-miR-190a-5p,79.19782998,-3.568698614,0.368285227,-9.690040082,3.32E-22,3.98E-20
mmu-miR-136-5p,75.68220463,-4.440088006,0.476116882,-9.325626072,1.10E-20,9.90E-19
mmu-miR-32-5p,35.40114916,-3.879442371,0.430289794,-9.015882851,1.95E-19,1.40E-17
mmu-miR-208b-3p,5477.278281,-4.230191268,0.517717181,-8.17085356,3.06E-16,1.83E-14
mmu-miR-301a-3p,715.9035734,-3.183161787,0.393013499,-8.099370114,5.52E-16,2.83E-14
mmu-miR-340-5p,453.8871109,-3.026778112,0.376592174,-8.037283623,9.19E-16,4.12E-14
mmu-miR-98-3p,46.89395806,-3.518900156,0.456286254,-7.712045064,1.24E-14,4.94E-13
mmu-miR-153-3p,23.06120868,-4.728467838,0.645152617,-7.329223675,2.31E-13,8.31E-12
mmu-miR-148a-3p,17893.74458,-2.964665023,0.42762281,-6.932897287,4.12E-12,1.35E-10
mmu-miR-21a-5p,18739.27667,-4.263720641,0.646811048,-6.59191066,4.34E-11,1.30E-09
mmu-miR-199b-5p,181.5540361,-2.424417466,0.376982095,-6.431120988,1.27E-10,3.50E-09
mmu-miR-152-5p,197.335417,-1.305184911,0.208463045,-6.260989381,3.83E-10,9.81E-09
mmu-miR-30d-3p,235.0899474,-2.74519917,0.464096789,-5.915143644,3.32E-09,7.94E-08
mmu-miR-136-3p,26.64400367,-3.61508413,0.625518625,-5.779338917,7.50E-09,1.68E-07
mmu-miR-501-3p,157.7921969,1.567841767,0.277163058,5.656748692,1.54E-08,3.26E-07
mmu-miR-411-5p,933.4173295,-1.77032258,0.314678701,-5.62581,1.85E-08,3.68E-07
mmu-miR-101b-3p,825.678527,-3.565942205,0.664131059,-5.369335094,7.90E-08,1.49E-06
mmu-miR-21a-3p,162.561292,-2.126347371,0.405709258,-5.241061987,1.60E-07,2.87E-06
mmu-miR-1a-1-5p,14.12685607,-2.843787683,0.565651796,-5.027452763,4.97E-07,8.50E-06
mmu-miR-3068-3p,69.62718074,-2.063973375,0.414242257,-4.982527346,6.28E-07,1.02E-05
mmu-miR-201-5p,15.12726972,-3.004455995,0.609556304,-4.928922849,8.27E-07,1.29E-05
mmu-miR-144-5p,196.6521793,-3.110198649,0.634451829,-4.90218249,9.48E-07,1.42E-05
mmu-miR-208a-3p,1002.122857,-3.481500023,0.724527143,-4.80520303,1.55E-06,2.22E-05
mmu-miR-199a-3p/mmu-miR-199b-3p,13824.68169,-2.235391268,0.467605935,-4.780502343,1.75E-06,2.41E-05
mmu-miR-27a-3p,10588.14298,-1.665190278,0.350958561,-4.744692004,2.09E-06,2.78E-05
mmu-miR-223-3p,247.6552708,-2.556512816,0.542447097,-4.712925612,2.44E-06,3.08E-05
mmu-miR-140-5p,220.229689,-2.006118006,0.426031724,-4.708846535,2.49E-06,3.08E-05
mmu-miR-874-5p,33.61281536,1.244190477,0.265062449,4.693952252,2.68E-06,3.21E-05
mmu-miR-101a-3p,5338.704019,-4.54558021,0.979672495,-4.639897756,3.49E-06,4.04E-05
mmu-miR-381-3p,87.05994517,-1.422230996,0.307912116,-4.618951065,3.86E-06,4.20E-05
mmu-let-7a-1-3p/mmu-let-7c-2-3p,292.6407049,-4.248788864,0.919433804,-4.621092726,3.82E-06,4.20E-05
