miRNA	PO1	PO2	PO3	PO4	PO5	PDE5.1	PDE5.2	PDE5.3	PDE5.4	PDE5.5
mmu-miR-193b-3p	154	335	304	391	292	167	163	143	139	118
mmu-miR-3058-3p	0	35	26	23	18	0	42	15	0	0
mmu-miR-186-3p	11	16	10	22	9	11	14	0	0	0
mmu-miR-16-2-3p	44	45	51	89	56	16	27	0	0	4
mmu-miR-342-3p	346	915	759	1093	631	424	539	216	205	151
mmu-miR-582-3p	464	414	472	602	227	115	137	36	18	11
mmu-let-7i-3p	99	195	163	191	166	96	108	54	40	33
mmu-miR-340-3p	57	163	172	245	125	31	85	9	7	10
mmu-miR-871-3p	9	32	0	14	6	6	9	9	5	0
mmu-miR-142a-3p	3673	3712	4254	9303	3301	518	1054	21	0	19
mmu-miR-361-3p	341	540	466	524	406	320	479	264	192	193
mmu-miR-1249-3p	176	360	256	336	263	243	220	188	175	192
mmu-let-7a-2-3p	10	19	13	14	15	0	18	0	0	0
mmu-miR-141-3p	42	74	52	88	55	15	45	0	0	0
mmu-miR-193a-3p	20	70	100	93	92	22	54	8	8	6
mmu-miR-148a-3p	66179	42168	41374	68245	39741	5032	9325	980	920	1203
mmu-miR-147-3p	33	42	80	92	28	8	8	0	0	0
mmu-miR-21a-3p	335	197	733	828	231	66	92	21	32	15
mmu-miR-423-3p	1330	4169	3419	3651	2826	2984	2771	2179	2393	2255
mmu-miR-328-3p	2387	5116	3559	3751	3512	3578	3707	2820	2902	3133
mmu-miR-200c-3p	0	13	15	12	22	21	20	7	6	6
mmu-miR-1247-3p	27	0	49	52	22	25	76	13	11	18
mmu-miR-25-3p	7158	8443	6628	8433	6225	3863	5155	1621	1412	701
mmu-let-7e-3p	61	105	103	125	78	55	82	46	45	48
mmu-miR-144-3p	263	396	871	983	689	11	19	5	2	5
mmu-miR-339-3p	146	417	433	461	297	225	291	161	168	132
mmu-miR-486a-3p	6632	6543	4552	6035	2962	2895	2977	2156	2104	2139
mmu-miR-667-3p	15	29	62	51	35	35	37	19	37	0
mmu-miR-98-3p	107	173	141	212	116	9	18	0	0	3
mmu-miR-143-3p	728890	538258	485697	800463	464580	103401	189739	10680	8238	5566
mmu-miR-130b-3p	51	72	95	118	57	52	74	15	17	10
mmu-miR-320-3p	1360	2868	2163	2234	1755	2037	1667	1454	1491	1814
mmu-miR-23b-3p	18084	27884	31117	36254	16311	13386	12652	7404	6548	4357
mmu-miR-429-3p	10	13	24	15	7	6	11	0	0	0
mmu-miR-708-3p	34	38	32	0	18	13	0	0	0	0
mmu-miR-547-3p	50	87	68	93	59	15	34	0	0	0
mmu-miR-27b-3p	424269	462856	497030	821510	345471	133071	197162	30526	23833	13830
mmu-miR-375-3p	13	39	18	24	18	9	23	0	8	12
mmu-miR-23a-3p	15056	22513	24854	29013	12459	10724	9088	3196	2723	1668
mmu-miR-15a-3p	20	24	34	24	18	0	14	6	0	0
mmu-miR-490-3p	1264	1820	1835	2954	1235	1068	1257	469	545	332
mmu-miR-125b-1-3p	308	448	704	640	337	347	276	226	269	254
mmu-miR-488-3p	58	85	97	85	69	0	33	10	0	0
mmu-miR-1948-3p	26	30	43	46	25	11	36	6	2	6
mmu-miR-29a-3p	13478	35760	29884	37010	26210	12858	17310	4964	3605	2951
mmu-miR-130a-3p	3121	4630	4760	6811	3592	2683	2932	731	607	270
mmu-miR-411-3p	32	32	42	61	30	14	9	2	6	0
mmu-miR-1964-3p	80	98	85	104	94	99	89	67	65	57
mmu-miR-208a-3p	1819	3080	3205	5292	2648	277	539	17	12	14
mmu-miR-301a-3p	2229	1693	1685	3935	1430	132	305	34	38	57
mmu-miR-501-3p	111	138	137	158	116	157	178	116	127	118
mmu-miR-16-1-3p	21	44	58	40	26	0	16	0	0	0
mmu-miR-671-3p	418	598	561	567	414	309	314	231	317	236
mmu-miR-10a-3p	37	48	44	37	5	30	22	3	0	3
mmu-miR-362-3p	48	68	67	79	60	10	22	0	0	0
mmu-miR-425-3p	123	260	243	251	170	171	225	106	103	107
mmu-miR-22-3p	725515	1203982	1040025	1596831	930324	552284	767291	194129	133533	95173
mmu-miR-1943-3p	8	18	19	14	22	12	31	8	9	8
mmu-miR-331-3p	120	460	426	639	394	317	358	243	225	172
mmu-miR-330-3p	45	83	66	92	51	45	84	49	57	36
mmu-miR-145a-3p	1267	2506	2029	2961	2210	304	680	20	9	12
mmu-miR-150-3p	28	55	28	33	27	25	29	18	21	16
mmu-miR-3068-3p	143	179	200	335	130	22	67	4	12	6
mmu-miR-101a-3p	15681	18632	15220	23565	13150	842	1198	51	0	90
mmu-miR-148b-3p	4390	4314	3917	6247	3042	1633	1893	1027	1066	781
mmu-miR-187-3p	41	132	127	127	74	72	106	33	34	27
mmu-miR-222-3p	1522	1757	2749	2957	1457	1410	1532	1019	928	553
mmu-miR-511-3p	36	60	59	102	32	22	49	4	6	0
mmu-miR-500-3p	32	52	67	81	49	37	54	11	26	30
mmu-miR-505-3p	0	17	16	16	11	0	18	3	0	0
mmu-miR-409-3p	101	77	127	177	78	70	46	22	63	28
mmu-miR-30e-3p	8618	10227	6803	8557	8450	3531	4869	1028	815	606
mmu-miR-345-3p	242	371	332	551	299	227	333	89	70	69
mmu-miR-203-3p	691	601	481	717	483	172	278	11	11	14
mmu-miR-218-1-3p	20	33	15	19	8	15	14	0	6	14
mmu-miR-184-3p	57	48	62	131	26	43	20	32	25	9
mmu-miR-126a-3p	32164	53105	44467	81111	44330	22520	34624	2429	1209	598
mmu-miR-872-3p	70	335	308	435	226	115	162	32	30	11
mmu-miR-485-3p	16	14	25	22	10	12	14	0	4	6
mmu-miR-17-3p	22	87	70	81	50	48	64	34	22	25
mmu-miR-652-3p	784	1298	1131	1366	1023	934	870	550	577	596
mmu-miR-450b-3p	11	18	11	20	11	9	11	0	0	0
mmu-miR-34c-3p	33	37	49	48	32	12	40	0	6	0
mmu-miR-455-3p	230	134	486	884	466	95	94	93	74	65
mmu-miR-27a-3p	17418	27720	29961	44238	20788	6996	10863	1681	1336	1007
mmu-miR-700-3p	35	43	32	74	34	26	39	25	25	29
mmu-miR-181a-1-3p	3379	4237	3154	3669	2951	2632	2437	1170	1154	973
mmu-miR-100-3p	17	20	19	13	14	4	13	0	0	0
mmu-miR-350-3p	45	82	71	104	50	18	30	4	8	0
mmu-miR-877-3p	25	48	40	36	29	30	41	33	25	18
mmu-miR-214-3p	788	1731	2202	2569	1220	1158	815	737	873	889
mmu-miR-674-3p	311	786	741	801	534	353	407	151	170	115
mmu-let-7c-1-3p	46	87	102	128	75	10	30	5	0	0
mmu-miR-99a-3p	196	208	260	217	169	68	93	22	20	18
mmu-miR-30b-3p	85	101	70	86	76	54	69	33	24	12
mmu-miR-212-3p	284	376	403	777	221	216	805	140	130	115
mmu-miR-221-3p	4527	4816	5068	5682	3568	2828	3236	1934	1509	959
mmu-miR-503-3p	48	77	86	96	59	63	73	32	33	24
mmu-let-7b-3p	555	1115	906	1026	834	522	589	328	342	258
mmu-miR-99b-3p	91	117	158	161	75	66	124	64	55	59
mmu-miR-30c-1-3p	309	541	428	419	392	382	385	171	161	161
mmu-miR-30d-3p	500	783	695	930	589	80	164	15	10	10
mmu-miR-543-3p	10	12	11	22	0	8	8	4	0	0
mmu-miR-1198-3p	0	0	13	18	0	10	19	0	0	0
mmu-miR-3098-3p	18	18	24	18	12	6	34	9	10	0
mmu-miR-335-3p	604	448	486	990	346	82	225	14	12	0
mmu-miR-598-3p	26	20	26	38	26	0	15	0	0	0
mmu-miR-93-3p	21	68	51	51	42	42	74	31	27	15
mmu-miR-378a-3p	206245	292244	201795	245493	202568	160240	203613	72903	64854	46024
mmu-miR-151-3p	38191	37004	29995	39539	27476	23940	26625	17323	16217	12523
mmu-miR-185-3p	77	88	69	66	58	44	81	21	23	27
mmu-miR-195a-3p	383	491	460	523	338	267	273	144	151	120
mmu-miR-219a-1-3p	26	53	29	27	42	25	50	19	20	24
mmu-miR-34b-3p	30	46	92	83	42	24	24	6	11	0
mmu-miR-338-3p	263	400	331	359	291	58	168	38	22	32
mmu-miR-140-3p	8851	8703	11754	12126	8267	4984	4329	2456	4313	2834
mmu-miR-3061-3p	70	80	72	103	41	33	63	7	0	0
mmu-miR-676-3p	690	1124	988	764	703	859	613	488	525	734
mmu-miR-181c-3p	730	850	679	985	520	279	419	136	110	77
mmu-miR-379-3p	18	31	49	46	25	9	23	4	0	2
mmu-miR-540-3p	35	38	47	53	43	33	32	17	21	20
mmu-miR-483-3p	36	0	51	36	27	31	103	18	30	0
