,logFC,AveExpr,t,P.Value,adj.P.Val,B
mmu-miR-33-5p,-5.06220217987253,1.29774640066603,-12.449488211121,7.94602466563265e-08,2.89235297829029e-05,8.30241957660241
mmu-miR-142a-5p,-4.45434999222975,6.57663312273122,-10.1036074764971,6.65644475011805e-07,8.94133941204709e-05,6.54279016699221
mmu-miR-153-3p,-5.00108123648608,2.02864529777943,-9.82693489616246,8.78379678257226e-07,8.94133941204709e-05,6.20153565010104
mmu-miR-190a-5p,-3.58936473726732,4.38977199065414,-9.6049155633841,1.10240382364532e-06,8.94133941204709e-05,6.0329897153938
mmu-miR-369-3p,-3.98326299020554,0.785138349199855,-9.50073257448291,1.22820596319328e-06,8.94133941204709e-05,5.83026622254012
mmu-miR-136-5p,-5.05317735921742,3.6611704362406,-8.59678606946775,3.26983970937161e-06,0.000146263931689959,4.98058191602483
mmu-miR-340-5p,-2.95694703317798,7.10599486017911,-8.54194061386134,3.47876106340233e-06,0.000146263931689959,4.7349793465453
mmu-miR-144-3p,-4.81609848105657,5.02777634060537,-8.53100495148345,3.52211502433703e-06,0.000146263931689959,4.92093059508987
mmu-miR-301a-3p,-3.14259196917295,7.69341976960259,-8.50771152898975,3.61641589343306e-06,0.000146263931689959,4.67077672982272
mmu-miR-32-5p,-4.24256986367375,2.96086907325769,-8.02420660829936,6.33823195343279e-06,0.000203938544036977,4.34701144736954
mmu-miR-215-3p,-3.53193219840001,0.573253073497378,-7.98769882115869,6.61920496974532e-06,0.000203938544036977,4.26467373114288
mmu-miR-208b-3p,-4.34077864065078,10.0807805973634,-7.97460170312701,6.72324870451574e-06,0.000203938544036977,4.02970554649756
mmu-miR-337-3p,-3.40882720703671,0.494018743390827,-7.85341542520295,7.77391430282241e-06,0.000217669600479028,4.10842251831551
mmu-miR-376b-3p,-3.51913624520377,0.530710883963093,-7.70648807880166,9.29063054434914e-06,0.000241556394153078,3.94651507349509
mmu-miR-501-3p,1.55727961823728,6.11333530157161,7.6347664188269,1.01441193502118e-05,0.000246163962898473,3.55603126425654
mmu-miR-19a-3p,-4.75432496139826,2.0691946252149,-7.1160583231051,1.94992480069455e-05,0.00044360789215801,3.25966154535521
mmu-miR-148a-3p,-3.05007535387638,12.3968554045127,-7.01572174745049,2.22093733172666e-05,0.000475541875734414,2.81007273939439
mmu-miR-98-3p,-4.18525382120321,3.36085107755222,-6.94462172961911,2.43732552146463e-05,0.000492881383229514,3.03872544097957
mmu-miR-487b-3p,-3.34081682219899,0.451260963801174,-6.79557135648621,2.9679129677902e-05,0.000557074041181657,2.85270267090168
mmu-miR-26a-2-3p,-3.50001339764438,1.27659970669981,-6.77242924536241,3.06084638011899e-05,0.000557074041181657,2.82691308248863
mmu-miR-136-3p,-4.18898466820366,2.55081046232829,-6.68766423786788,3.42879607945731e-05,0.0005943246537726,2.70689118064891
mmu-miR-201-5p,-3.52575080020554,2.06749058777872,-6.64718427834543,3.62098449387874e-05,0.000599108343532664,2.65752177405143
mmu-miR-21a-5p,-4.69550387812986,11.6966396042575,-6.53353955303497,4.22487498856552e-05,0.000668632389494717,2.12565489405079
mmu-miR-301b-3p,-3.1566170722481,0.384997351394046,-6.43120996789835,4.86137864427283e-05,0.000731985975866005,2.3833200212521
mmu-miR-376c-3p,-3.24322417327956,0.978330534074764,-6.40687474459578,5.02737620787091e-05,0.000731985975866005,2.35024971162569
mmu-let-7f-1-3p,-5.63943089816225,3.11875121992177,-6.34417336090687,5.48365534589473e-05,0.000767711748425262,2.24372590883504
mmu-miR-1a-1-5p,-3.37581399247013,2.03494084839016,-6.18806835814484,6.82330596947732e-05,0.00090923132900126,2.03657970337153
mmu-miR-488-5p,-2.96972519027271,0.274890794094513,-6.15476029818335,7.15210285385088e-05,0.00090923132900126,2.01534656527111
mmu-miR-450b-5p,-4.67196282857355,3.29952610398385,-6.14575487052547,7.24387597281224e-05,0.00090923132900126,1.96626381296163
mmu-let-7a-1-3p/mmu-let-7c-2-3p,-5.5129460945692,5.2749538712282,-6.07939376093327,7.96018190407214e-05,0.000936601490748373,1.84963119167719
mmu-miR-30d-3p,-2.58463014295468,6.19364514323971,-6.07795273767503,7.97655115747241e-05,0.000936601490748373,1.57338739270647
mmu-miR-199b-5p,-2.19002281032927,6.00235192500173,-5.82492785716471,0.000114918922590186,0.00123557144193216,1.18114905622685
mmu-miR-582-5p,-3.35860830013655,2.00868378099107,-5.82283458351769,0.000115270853420224,0.00123557144193216,1.52017623525219
mmu-miR-874-5p,1.30852552873113,3.98111193517821,5.82200574156911,0.000115410519301355,0.00123557144193216,1.30024629687069
mmu-miR-15b-3p,-3.97922646649307,2.74793223533906,-5.7082472845341,0.000136401316731385,0.0014185736940064,1.34072895840913
mmu-miR-101b-3p,-3.74553737064701,7.47443335858479,-5.67238687124966,0.000143833216539173,0.00145431363389609,0.877397897761295
mmu-miR-455-5p,-4.87025932227819,4.87071107994607,-5.53596606732433,0.000176290558954643,0.0016351935782917,1.05515703203165
mmu-miR-425-3p,0.916848583133621,6.41213919452312,5.52893200202679,0.0001781625669584,0.0016351935782917,0.546450528195355
mmu-miR-215-5p,-5.92413475358099,4.73348253321031,-5.52867792536029,0.000178230579598612,0.0016351935782917,1.06190913484355
mmu-miR-16-1-3p,-3.68487521823533,1.63011543357713,-5.52324468491915,0.000179691602010077,0.0016351935782917,1.08618306153228
mmu-miR-147-3p,-3.53863653045556,2.17622210156049,-5.43652179377038,0.000204817026157769,0.00181837554930312,0.946064490521094
mmu-miR-1964-3p,1.14859522234859,5.41332186698125,5.28049261532318,0.00025989290865671,0.00225240520835815,0.198533680419359
mmu-miR-362-3p,-3.48655740460496,2.5307304087579,-5.21746073104086,0.000286419709328873,0.00242457614408628,0.605540060164689
mmu-miR-324-3p,1.11915768186147,5.15729777073358,5.16052248764449,0.000312853957202674,0.00258815546413121,0.0334326034744956
mmu-miR-208a-3p,-3.86190493786514,7.70448724580155,-5.13684267011642,0.000324597443902286,0.00259021546233266,0.013978700869032
