logFC	AveExpr	t	P.Value	adj.P.Val	B
mmu-miR-208b-3p	-3.22593811235065	9.65383318837036	-3.88566256234747	0.00088016718109615	0.00088016718109615	-0.619257256718317
mmu-miR-300-3p	-0.737288360551155	5.78972838035283	-3.86881604565164	0.000915935235709734	0.000915935235709734	-0.65291278968617
mmu-miR-376b-3p	-2.61277690220937	0.134715816158151	-3.73357620554608	0.0012605245122881	0.0012605245122881	-2.11871288432586
mmu-miR-411-5p	-1.11940355747082	8.47367435913239	-3.43513509023963	0.00253962841997877	0.00253962841997877	-1.4652922500084
mmu-miR-21a-3p	-1.17195826427654	5.79189244381747	-3.2445303396233	0.00395426571754035	0.00395426571754035	-1.83823938151385
mmu-miR-146b-5p	-1.44599734743527	7.27971460668172	-3.1918789333054	0.00446499926792458	0.00446499926792458	-1.93051934884576
mmu-miR-152-5p	-0.682988123405071	6.45732367322589	-3.11788826102598	0.00529239642977673	0.00529239642977673	-2.0723143394635
mmu-miR-200c-3p	1.64570437102944	2.44308399771301	3.11289938473197	0.00535324200407628	0.00535324200407628	-2.76544162611982
mmu-miR-27b-5p	-0.559782067348789	6.8687034411028	-3.08474797026362	0.00570948795221762	0.00570948795221762	-2.1335548192884
mmu-miR-329-3p	-2.58784135157167	2.03078267647152	-3.06210238873772	0.00601260514278858	0.00601260514278858	-2.40986041570303
mmu-miR-27b-3p	-1.09453385087329	16.2271203834286	-2.95434118768788	0.00768097435318635	0.00768097435318635	-2.38201836214963
mmu-miR-34c-5p	-1.29744419826447	7.18137114313198	-2.94858164018004	0.00778168553883962	0.00778168553883962	-2.3872151763039
mmu-miR-149-5p	0.929429881973588	11.7917531569922	2.94850205264976	0.00778308605516434	0.00778308605516434	-2.38642136936081
mmu-miR-136-3p	-1.544005903193	2.89596426687474	-2.89318458375899	0.0088173790447996	0.0088173790447996	-2.56748109147998
mmu-miR-410-3p	-0.697001709804953	5.49864724786075	-2.89024735011483	0.00887583238480934	0.00887583238480934	-2.49252851549829
mmu-miR-874-3p	0.678888837971141	5.31598972268014	2.84443624129329	0.00983697166554918	0.00983697166554918	-2.57530033706173
mmu-miR-34b-5p	-1.3564678110822	2.59523843374198	-2.81855111976851	0.0104232579572116	0.0104232579572116	-2.71732139976485
mmu-let-7d-5p	0.525107553380531	11.8849830260417	2.81318859060093	0.0105488204890052	0.0105488204890052	-2.63181514279754
mmu-miR-30c-1-3p	0.586381054360165	7.27039701202032	2.68587662328628	0.0139894244056983	0.0139894244056983	-2.86289292198198
mmu-miR-99a-3p	-0.567452699100456	5.34684930234148	-2.675495609394	0.0143126349764561	0.0143126349764561	-2.87549564904238
mmu-miR-199a-3p/mmu-miR-199b-3p	-1.50967012864171	12.2352866560254	-2.65917889624616	0.0148349749147642	0.0148349749147642	-2.90351882349221
mmu-miR-874-5p	0.689230543148262	3.82636009399392	2.65319674523796	0.0150309563317828	0.0150309563317828	-2.94219439052727
mmu-miR-1964-3p	0.653580690439819	5.24196919972706	2.59013105377975	0.0172513192816122	0.0172513192816122	-3.01865647121371
mmu-miR-33-5p	-1.73713442975937	2.07259633335789	-2.56072362137016	0.0183891180257445	0.0183891180257445	-3.14282010142797
mmu-miR-30c-2-3p	0.564109141516935	8.13936218590928	2.53308859993604	0.0195222619123789	0.0195222619123789	-3.13846834489578
mmu-miR-140-5p	-1.09175288787102	6.42384796608371	-2.53190529181509	0.0195722147378013	0.0195722147378013	-3.13356164934823
mmu-miR-21a-5p	-2.54341483629164	12.0343928010287	-2.53146251018017	0.0195909373543008	0.0195909373543008	-3.12406677084664
mmu-miR-214-5p	-0.941629097398735	6.2868149356152	-2.50932581967474	0.0205486499752655	0.0205486499752655	-3.17054040279686
mmu-miR-501-5p	-2.17684213333962	1.85444678836396	-2.49787823141427	0.0210609377301758	0.0210609377301758	-3.24996223759447
mmu-miR-199b-5p	-1.20944530619088	6.05594671091813	-2.48980171983602	0.0214295263479113	0.0214295263479113	-3.20296267699641
mmu-miR-187-3p	0.45125728552039	5.03039621654199	2.46850567023474	0.0224305168022018	0.0224305168022018	-3.22303624441471
mmu-miR-136-5p	-1.6248954240503	4.15285330567389	-2.42508944621938	0.0246077339869918	0.0246077339869918	-3.28657704231547
mmu-miR-99a-5p	-0.615680262671422	10.8845613956588	-2.41294828512866	0.0252508678084095	0.0252508678084095	-3.33267955781344
mmu-miR-541-5p	-0.481012489240209	7.61498822506636	-2.40750065377775	0.0255444818728463	0.0255444818728463	-3.3554364498003
mmu-miR-381-3p	-0.572145916144658	5.3157046151633	-2.34196947496553	0.0293335037857731	0.0293335037857731	-3.44454915334085
mmu-miR-379-5p	-0.880763653657145	4.4701563483647	-2.31846774085828	0.0308144321115912	0.0308144321115912	-3.46806692527864
mmu-miR-369-3p	-1.42594959828345	1.35500187088795	-2.31237682230515	0.0312093318154746	0.0312093318154746	-3.55747516506535
mmu-miR-328-3p	0.81229984409684	10.5210615508749	2.30409048523066	0.0317540554681237	0.0317540554681237	-3.52331651926424
mmu-miR-331-5p	0.591459765668419	3.70585666617371	2.29220674246063	0.0325505465421399	0.0325505465421399	-3.48419044059372
mmu-miR-301b-3p	-1.61934771276815	0.520751903985075	-2.28417242226149	0.0330993992000949	0.0330993992000949	-3.6852158264999
mmu-miR-150-5p	0.83971541238104	11.1796347476991	2.24388477663478	0.0359819219743308	0.0359819219743308	-3.61645779851299
mmu-miR-871-3p	1.51139019571394	2.00587954112316	2.23717027077569	0.0364841068463337	0.0364841068463337	-3.74185210526656
mmu-miR-1198-5p	0.524526011914999	8.83598207824841	2.23423433326817	0.0367056965462942	0.0367056965462942	-3.64942815737586
mmu-miR-299a-3p	-1.5583369618075	1.12114436152066	-2.23368486092125	0.0367473044039674	0.0367473044039674	-3.66538922645151
mmu-miR-411-3p	-0.841860195645742	2.5682696249338	-2.23116268443629	0.0369388457522536	0.0369388457522536	-3.58049233299184
mmu-miR-376c-3p	-1.21352115728223	1.34693456678805	-2.23000524763454	0.0370270499884582	0.0370270499884582	-3.66431635859517
mmu-miR-208a-5p	0.814031156489754	7.1172027022636	2.22668035103793	0.0372815006434392	0.0372815006434392	-3.64632517998948
mmu-miR-503-3p	0.345859511120673	4.6142650436492	2.21078678605312	0.0385200267363601	0.0385200267363601	-3.62984468890701
mmu-let-7d-3p	0.657390095010859	10.5621265242408	2.20316669008268	0.0391270480921753	0.0391270480921753	-3.68762611882829
mmu-miR-155-5p	0.302152889203835	7.46330214749195	2.19878083753291	0.0394803694581442	0.0394803694581442	-3.69691791121464
mmu-miR-222-5p	-0.624163212262463	3.35066943088189	-2.19787112403658	0.0395540184701302	0.0395540184701302	-3.62329889808042
mmu-miR-125b-2-3p	-0.472908966885736	9.39329072672095	-2.19445017873635	0.0398320947404557	0.0398320947404557	-3.70647360344742
mmu-miR-455-3p	-1.26247857115486	5.74593490975974	-2.18982165638702	0.0402111650324663	0.0402111650324663	-3.69633317816271
mmu-miR-487b-3p	-1.53573847299628	0.7225866865004	-2.18003646586324	0.041023391498736	0.041023391498736	-3.77292197209771
mmu-miR-1934-5p	1.27692942469806	2.81730681101662	2.16401828342582	0.0423852443468127	0.0423852443468127	-3.73835476913364
mmu-miR-1947-5p	0.374765504994578	4.73561422184101	2.16232898941759	0.0425312346418317	0.0425312346418317	-3.70832801434432
mmu-miR-423-5p	0.809628988668909	9.66880707580355	2.1490429207763	0.0436954336976	0.0436954336976	-3.78484733567799
